"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","doJOZc","W4Efsd 5","W4Efsd 6"
"https://www.google.com/maps/place/Dr.+Syed+Ilyas+Jan+-+Dental+Surgeon/data=!4m7!3m6!1s0x38dfbfdd88981f21:0x49fb91aee9d63e5c!8m2!3d33.7179336!4d73.0540505!16s%2Fg%2F11l2p3l7h7!19sChIJIR-YiN2_3zgRXD7W6a6R-0k?authuser=0&hl=en&rclk=1","Dr. Syed Ilyas Jan - Dental Surgeon","5.0","(338)","Dental clinic","·","·","Open 24 hours","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE3JITpHLg7lXpKeAMzVrj-s6kYph4j3kl8hQ6Oeq9Bl2lveFDx8Q1Ak-5NfIGyciBrk3yN-TfnupggFAVsvZKl7FPSWQTNotyQ2HqjvJbJpYVWOoDNsTV_UXiw_m2cFznBw60D0zyFsbE=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dr sb did my extraction and RCT with very effective and painless treatment.""","","","","32 Bhittai Rd, F-7/1, Islamabad., F-7/1, Islamabad, 44210",""
"https://www.google.com/maps/place/Dr.+Raheel+Nabi/data=!4m7!3m6!1s0x38dfbfecd43796bb:0x5a300c47fa5cd6c!8m2!3d33.6978794!4d73.0487735!16s%2Fg%2F11r9tmrh3c!19sChIJu5Y31Oy_3zgRbM2lf8QAowU?authuser=0&hl=en&rclk=1","Dr. Raheel Nabi","4.9","(158)","Dentist","·","·","Open 24 hours","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEuSso7wJYyJB6QfzhpvQsAxmZdK69-27nuSi6OhHbPmXMSLDXcnrPsPyiR3g77T3fqDIIiGlhEpmUB9DjE-ppvvbo74v6MgT7MlwYMPXEQj_hS2HITs_6WhUFXGYEQ4JMbZcM=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The","dentist","was truly exceptional professional, gentle, and highly skilled.""","","Bite Works Dental Care, Executive Complex, near Chughtai Lab",""
"https://www.google.com/maps/place/Dr.+Anum+Fatima/data=!4m7!3m6!1s0x38dfbf62a6f39393:0xe7cb8480f29eacbf!8m2!3d33.697008!4d73.051279!16s%2Fg%2F11stfj61tv!19sChIJk5PzpmK_3zgRv6ye8oCEy-c?authuser=0&hl=en&rclk=1","Dr. Anum Fatima","5.0","(28)","Dentist","·","above IDC","Closed","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGTvvpRK9VBO0Mk3uTbiHUfO0P8-B2bywj5qE47FN7eCa5AfJVvetcUT1deizPx7-eRgDY8M0M2VWz3v9Xv-6c0dAk1dhqUO0nEwe-Rd7ytTG_j_NpxzPE7tzeSnahJI7HCHFA31AAa3kKt=w80-h92-p-k-no","","","","","","· Opens 2 PM",""
"https://www.google.com/maps/place/Dr.+Mamoon+Pasha+%28dentist,+uk+specialist%29+%28cosmetic+dentist%29/data=!4m7!3m6!1s0x38dfed38944c2945:0x4eabc6006d0d093b!8m2!3d33.698246!4d73.048808!16s%2Fg%2F11p5163r8v!19sChIJRSlMlDjt3zgROwkNbQDGq04?authuser=0&hl=en&rclk=1","Dr. Mamoon Pasha (dentist, uk specialist) (cosmetic dentist)","4.9","(241)","Dentist","·","Dental Clinic Office No:19","Closed","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGHp4iNKiBxF01eZbNeyZr3pnU8JuQAi9BrJm6eIquIzJyU09J9Jc9fcLzIUOFBOx2g01bQ0q75rCW01eihKEpE9F8953qgSWFIdI-aFpBuFFR40j7Zqdl9OclOvF8J_VwBO59Tnra1xvsx=w80-h92-p-k-no","","","","","","· Opens 4 PM",""
"https://www.google.com/maps/place/NorthWestern+Dental+Clinic/data=!4m7!3m6!1s0x38dfbfdb75c75db1:0xb020cb44a44fc583!8m2!3d33.6880252!4d73.0322755!16s%2Fg%2F11tk0w4qwn!19sChIJsV3Hddu_3zgRg8VPpETLILA?authuser=0&hl=en&rclk=1","NorthWestern Dental Clinic","4.9","(116)","Dental clinic","·","·","Open 24 hours","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHLp_25-0VhMGuoAr_UoCDUDY2BPaYDM0QpiEhbZyTVmKCM3I3cB4a72UGb5mdIQUS8Cn3SxQSWfmNPUcvdLP1pyPIfyI5ABx9kCLRHASftCyYVRFjSdPONtvZ7U650A58TT6pISWdvggih=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""I had pain in my wisdom tooth this doctor treated me now I'm I'm pain free.""","","","","1st floor, Pehchan Mall, markaz",""
"https://www.google.com/maps/place/Arwa+Dental+Surgery/data=!4m7!3m6!1s0x38df979744b55ac7:0xa73d353297ed2258!8m2!3d33.6422183!4d72.9800067!16s%2Fg%2F11jzwsfn2f!19sChIJx1q1RJeX3zgRWCLtlzI1Pac?authuser=0&hl=en&rclk=1","Arwa Dental Surgery","5.0","(110)","Dentist","·","·","Closed","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFTbhsYKsOawgovynSdbTCrru7xFG8cF5WFhXrnd8cZ1l0Fja5IXGguQuTsHVaTsDjXOIDYrhLNpIM3T0Mb2ySbeR6YMQBYDD_gJgyaW76aQ2MH1HvAv63JRiXnbiqUOAFyjk6_=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""He not only managed to ease my pain but also fixed teeth through bridge.""","","","","commercial and residential plaza, Zubair Shah Rd, near Nust university, opposite golden era hostel in JK","· Opens 11 AM Sat"
"https://www.google.com/maps/place/Smile+and+Skin+Co.+%7C+Best+Dental+Clinic+in+G-8+Islamabad/data=!4m7!3m6!1s0x38df9574688075df:0x24eeff6d274cbd58!8m2!3d33.6968085!4d73.0514335!16s%2Fg%2F11krfmbw7m!19sChIJ33WAaHSV3zgRWL1MJ23_7iQ?authuser=0&hl=en&rclk=1","Smile and Skin Co. | Best Dental Clinic in G-8 Islamabad","5.0","(85)","Dental clinic","·","Office no# 1, 2nd floor, Pakland Square, Markaz","Open 24 hours","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHkFnd5Q737reFSSc3qxy9-L6u7f8mIhDvCi3A1ck9AN2EQAy50fT9d53oehGH4NAlARlE3ieoxg4-9KbbHkXatZhDL9nua2_oLTyzF3sC4qOT8N2Q1YJ1PP-UARR3TGTt2r578LkQwmGA=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The","dentist","was incredibly skilled, gentle, and thorough.""","","",""
"https://www.google.com/maps/place/SMART+DENTAL+CARE+AND+IMPLANT+CENTER/data=!4m7!3m6!1s0x38df97a965e0443f:0x3dc896dfe9d3b767!8m2!3d33.6328796!4d72.9224791!16s%2Fg%2F11pvbh_7f4!19sChIJP0TgZamX3zgRZ7fT6d-WyD0?authuser=0&hl=en&rclk=1","SMART DENTAL CARE AND IMPLANT CENTER","5.0","(28)","Dental clinic","·","G15 MARKEZ, RTA PLAZA, SHOP NUM 22","Closed","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHhlaE6qmxnUHEMttEwPbPeKy0_sC9cUDm_1V5JVf69Rp1GxaWFzJWMlnvonkojw1vzB6LSXBN55JNvjz9D8i4vMjs3akx3N4fm3L7HtBxLUmky0riDsYN9BNbF1kGX-SUZTJxJ=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""He did the treatment very well and made my son feel comfortable throughout.""","","","","","· Opens 5:30 PM"
"https://www.google.com/maps/place/91+Dental+Solutions/data=!4m7!3m6!1s0x38df95d7e1d2c2af:0xb67e684a2699a233!8m2!3d33.6687816!4d73.0762876!16s%2Fg%2F11p0gb2yfx!19sChIJr8LS4deV3zgRM6KZJkpofrY?authuser=0&hl=en&rclk=1","91 Dental Solutions","4.9","(102)","Dental clinic","·","·","Closed","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEv5RLcnF-nslvVW1hgz6Abhh0OFRsiwTpaBX--n8lC8c-cg2RuYqA_v-oqA2bW4btcV8zIBPO2O59N3ibfkeh8FmbQfqZXKmWUHID4i1UGjk3saIWryP3cV2QGVMxDDV4T-bjERg=w138-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dr. Khurrum Tahir caught a small issue early during my gentle cleaning.""","","","","1st Floor, Galleria Plaza","· Opens 3 PM"
"https://www.google.com/maps/place/Dr.+Mamoon+Pasha+%28dentist,+uk+specialist%29+%28cosmetic+dentist%29/data=!4m7!3m6!1s0x38dfed38944c2945:0x4eabc6006d0d093b!8m2!3d33.6982455!4d73.0488083!16s%2Fg%2F11p5163r8v!19sChIJRSlMlDjt3zgROwkNbQDGq04?authuser=0&hl=en&rclk=1","Dr. Mamoon Pasha (dentist, uk specialist) (cosmetic dentist)","4.9","(241)","Dentist","·","·","Closed","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFnSaZqpyHzlcbfMG6P9-yTNJI6k0zOlB1VsQbKezNEELcfmNyu0H2JISdS1ucF_0NZyGIwsvalhBE70v4EAZ670393EVK1wQ6JDqYDe2xuA2BwR-cjeu7mBoibwJhClU260ihJ=w128-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dr. Mamoon did an outstanding job with my full mouth porcelain veneers.""","","","","Second Floor, Crescent Arcade, Dental Clinic Office No:19","· Opens 4 PM"
"https://www.google.com/maps/place/Precision+Dental+Clinic/data=!4m7!3m6!1s0x38df97bd92fd4a3b:0xd2836bfce657fb3d!8m2!3d33.6317676!4d72.9233428!16s%2Fg%2F11g87bb63x!19sChIJO0r9kr2X3zgRPftX5vxrg9I?authuser=0&hl=en&rclk=1","Precision Dental Clinic","4.8","(24)","Cosmetic dentist","·","·","Closed","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFDeT2OnlujuNLfcju04doQQ6EwpzR6qmC6uA9HCcKAzxKf57yWNLHBro8BnDIn_7Wxk8QzFXCTt5hMbdxFNatmEgFKJzn4NCyuNU4cfHmnfomtgfZLWLnxxT56W0aniP1_YAA=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Professional and provides excellent","dental","services-highly recommended""","","Mr family flat","· Opens 5:30 PM"
"https://www.google.com/maps/place/SJ+Dental+%26+Skin+Clinic/data=!4m7!3m6!1s0x38dfbdebf98974cd:0x7a6f65f4264b1e3f!8m2!3d33.6994764!4d72.9862135!16s%2Fg%2F11h8fv3yxs!19sChIJzXSJ-eu93zgRPx5LJvRlb3o?authuser=0&hl=en&rclk=1","SJ Dental & Skin Clinic","4.7","(79)","Dental clinic","·","Main Service Rd E, E11","Closed","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFfRVVBBg0XNPOnCQCbIJQqMkTlwGrNSF-bL6BETSgaMUIwXsR9lxIg_HEyfSeQU_-d5QbU1ztBekeVIzlVciUDCxOcCb6lwVvokBe9209tFFEAsmy4wiKhuGgH5TIKi8cbLWO0=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Professional staff, skilled doctors, and clean facilities.""","","","","","· Opens 11 AM"
"https://www.google.com/maps/place/True+Dental+Care+Islamabad/data=!4m7!3m6!1s0x38df950a8db35445:0xa8a4487e298bd6b4!8m2!3d33.6667392!4d73.0759767!16s%2Fg%2F11q_cvt_vj!19sChIJRVSzjQqV3zgRtNaLKX5IpKg?authuser=0&hl=en&rclk=1","True Dental Care Islamabad","4.3","(138)","Dental clinic","·","·","Closed","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGO-oaUwzmZLuHFHHXuaP-B31Db4n_RmatKnJZdx48r7UJmSFjk58RrNR1R_yDN6xVP0EtIcdRTj38ZaXXnH82TQhkSeHHRCy0aVnAvne2lZ1HcEItHT1x-6G6_1G7bzqEZ2A6uzg=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""She worked wonders on my teeth, restoring my lost smile.""","","","","Shop No lg-9 Pakland, Business Center Plaza, below Soneri bank","· Opens 3 PM"
"https://www.google.com/maps/place/LUMINO+Dental+%26+Aesthetics+Clinic/data=!4m7!3m6!1s0x38dfbfcbb6a142ad:0xeff31e1f73f3b873!8m2!3d33.7107617!4d73.0408201!16s%2Fg%2F11mcj5trgv!19sChIJrUKhtsu_3zgRc7jzcx8e8-8?authuser=0&hl=en&rclk=1","LUMINO Dental & Aesthetics Clinic","5.0","(317)","Dental clinic","·","·","Open 24 hours","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHBdr5MyJFfgoZZe_-qu2IYzgNqG02jhmDs6Eb9KvVTuMAHRP71YjzOECJiBPVVwzq8mRsQgtiGgTVYaVGO4rR337gJY_ut1h6T-o2NDrTOu2-xQWiXEJWWj5mgb39urA_1C5rsWdp-VksK=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""I had my teeth cleaned and polished here, and they did an excellent job.""","","","","Shop #1, Lower Ground Floor, PMC Plaza",""
"https://www.google.com/maps/place/Glamorous+Dental+Clinic+Islamabad+-+Dentist+Islamabad,+Teeth+Whitening,+Dental+Implants,+Root+Canal+%28RCT%29/data=!4m7!3m6!1s0x38df9572753b7ecb:0xfc801768ce167717!8m2!3d33.6669982!4d73.0766478!16s%2Fg%2F11mf0j6vr9!19sChIJy347dXKV3zgRF3cWzmgXgPw?authuser=0&hl=en&rclk=1","Glamorous Dental Clinic Islamabad - Dentist Islamabad, Teeth Whitening, Dental Implants, Root Canal (RCT)","5.0","(21)","Dental clinic","·","OFFICE NUMBER LG 20, 21 Interlace Rd","Open 24 hours","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF3mW8gs8ONQ9ejO2g713jzQRoWVX2LsE50lwqqeep61Cvv3SD6ITdP52K8s9JOSiq77KIFu4Li2omhsgh-Hoj4FQuQBjbVMeisIdGtkHFc3I-RLNQ6KlaoW9_ia5XZx84QbX0Lk7dso8U=w152-h86-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Loved the results for my teeth polishing.""","","","","",""
"https://www.google.com/maps/place/Elite+Dental+%26+Aesthetic+Centre/data=!4m7!3m6!1s0x38dfbff0f0cf8b91:0x823c1425f190af60!8m2!3d33.6972592!4d73.0514313!16s%2Fg%2F11ng5pymmq!19sChIJkYvP8PC_3zgRYK-Q8SUUPII?authuser=0&hl=en&rclk=1","Elite Dental & Aesthetic Centre","4.9","(437)","Dental clinic","·","·","Closed","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHRkan4DPnbiu6jcWY8vUM00RtHXU-5fXVIpDviOpA8K9QWCnh6NS5G196u-BTfbCNg0VMuaYbj__44o_Kh5L6JvF29c1d5RNSLlG61iRLbmHDqnCzEVpGb0C3lavyu2RGuTJeq=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The filling work was precise and pain-free, and the results are outstanding.""","","","","first floor office no, Doctors plaza, 6 Markaz Rd, next to islamabad diagnostic centre","· Opens 12 PM"
"https://www.google.com/maps/place/Crescent+Dental+%26+Implants+Clinic+Islamabad/data=!4m7!3m6!1s0x4826082f1696af25:0x9824a8e952edcb48!8m2!3d33.6984817!4d73.0485124!16s%2Fg%2F11ksl3vf2c!19sChIJJa-WFi8IJkgRSMvtUumoJJg?authuser=0&hl=en&rclk=1","Crescent Dental & Implants Clinic Islamabad","4.9","(291)","Dental clinic","·","·","Closed","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH8eaRhLOTDXI7kTmV58SE3E68p8HPFeh-CsW_dsG7s7U7MOdvJiesN4UIgDbDMtPBLCT0oEurtbzORCl_-upY_wOnvlGPdcZGgdTIywHiStwD5aLb94q0DzDgehWY3AW5_wn9ePNZJIyqg=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Highly recommended for the top notch","dental","care in a pleasant setting!!""","","Office No# 1, 2nd Floor, Crescent Arcade, G8 Markaz","· Opens 12 PM"
"https://www.google.com/maps/place/Dentistry+and+beyond+24%2F7/data=!4m7!3m6!1s0x38dfbde39315d135:0x105ff7e4b8dd35d0!8m2!3d33.684472!4d72.9883651!16s%2Fg%2F124yf5fvr!19sChIJNdEVk-O93zgR0DXduOT3XxA?authuser=0&hl=en&rclk=1","Dentistry and beyond 24/7","4.5","(39)","Dental clinic","·","·","Open 24 hours","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFyYEi_JGv1DpSjyeBdBzK6yfrULiA0TxXxnxyITZDbZZ8SPRij23LMuhHtfCCD1GTnGvZ8WUGrzcTX_XVxRP99083oiibLNBJ5sia39zx5pYBMwukF4tjUf7CVlqUkMyTzhPjheA=w137-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Great experience with","dentistry","and beyond 👍""","","Office no,13 First floor, Select one center, above Gloria Jeans",""
"https://www.google.com/maps/place/Dental+Specialists+of+Islamabad/data=!4m7!3m6!1s0x38dfbfbf50c8298f:0xd61525b73af0fa4f!8m2!3d33.7151669!4d73.0329756!16s%2Fg%2F11vysqxmy_!19sChIJjynIUL-_3zgRT_rwOrclFdY?authuser=0&hl=en&rclk=1","Dental Specialists of Islamabad","4.7","(74)","Dental clinic","·","·","Closed","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEnzpeS4EdtxrloAGP1ScwPA9kYqPhTNumD-6VlAo2-9F4938Y0hA929xK7BeaqZSf4Zb5t8bn5ffrAQC42cVP-bekoAHD2UeWTPcuW70oTmJu41ARGfkwUsn1gKHBsEhIb-FK7lw=w138-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dr Umair fixes teeth painlessly issues in a jiffy.""","","","","House#5B, Street 21","· Opens 11 AM"
